0,10,16,0
0,14,173,0
0,24,29,0
0,31,39,0
1,3,68,0
1,5,40,0
1,11,108,0
1,15,129,1
1,25,81,0
1,26,73,-1
1,28,71,0
1,32,146,0
1,33,22,0
1,35,8,0
2,4,167,0
2,5,403,-1
2,6,17,1
2,8,64,0
2,11,312,-1
2,13,2,0
2,15,182,1
2,20,13,1
2,22,100,0
2,26,149,0
2,27,8,0
2,29,250,0
2,31,15,0
2,32,369,-1
2,34,206,0
2,35,131,0
3,5,53,-1
3,7,259,-1
3,9,193,-1
3,10,7,0
3,12,39,0
3,15,41,0
3,18,228,-1
3,20,62,0
3,21,2,0
3,32,12,0
3,33,282,-1
3,34,79,-1
3,36,129,-1
4,5,2,0
4,7,15,0
4,8,10,0
4,10,255,-2
4,13,36,-1
4,16,65,-1
4,19,275,-2
4,21,86,-1
4,26,3,0
4,28,301,-1
4,33,251,-1
4,35,93,-1
4,36,96,-1
5,10,97,0
5,29,136,0
5,34,122,-1
5,37,15,0
6,8,116,-1
6,10,19,0
6,11,645,-2
6,13,25,-1
6,15,222,0
6,17,178,-2
6,18,26,0
6,19,21,0
6,20,15,0
6,21,8,0
6,22,394,-1
6,24,9,0
6,26,231,-2
6,27,38,-1
6,28,1,0
6,29,147,-1
6,30,271,-1
6,31,36,-1
6,32,426,-2
6,33,18,0
6,34,104,-1
6,35,359,-2
7,12,91,1
7,24,24,0
7,31,31,0
7,32,140,0
7,33,55,0
7,35,9,0
7,36,84,0
8,10,161,-1
8,11,10,0
8,12,145,0
8,13,75,-1
8,17,9,0
8,18,18,0
8,21,17,0
8,24,263,-2
8,25,110,0
8,28,25,0
8,29,1,0
8,31,270,-2
8,33,370,-1
8,34,96,-1
8,36,501,-2
8,37,70,0
9,10,45,-1
9,11,138,-1
9,13,294,-1
9,15,161,0
9,18,23,0
9,19,55,-1
9,21,98,-1
9,24,7,0
9,26,337,-1
9,27,253,-1
9,28,10,0
9,29,15,0
9,30,7,0
9,31,7,0
9,32,186,-1
9,33,12,0
9,34,4,0
9,35,97,-1
9,37,275,-1
10,11,30,-1
10,14,85,0
10,15,248,-1
10,18,97,-1
10,20,268,-1
10,22,72,-1
10,28,245,-1
10,29,125,-1
10,32,18,0
10,34,2,0
11,13,199,-1
11,14,221,0
11,16,355,-1
11,18,3,0
11,19,411,-2
11,21,263,-1
11,24,185,-1
11,26,4,0
11,27,18,0
11,28,50,-1
11,29,25,-1
11,30,134,-1
11,31,191,-1
11,32,13,0
11,33,31,0
11,34,60,-1
11,35,16,0
11,36,77,-1
11,37,113,0
12,13,13,0
12,15,383,0
12,17,319,-2
12,18,5,0
12,20,279,0
12,21,29,-1
12,22,421,-1
12,23,1,0
12,26,267,-2
12,27,6,0
12,28,14,0
12,29,31,-1
12,30,324,-2
12,32,467,-2
12,33,11,0
12,34,16,0
12,35,357,-2
12,36,10,0
13,17,124,0
13,18,115,0
13,23,142,0
13,24,235,0
13,26,207,0
13,30,143,0
13,31,242,0
13,33,206,0
13,36,234,0
14,18,207,-1
14,19,110,-1
14,21,76,-1
14,24,186,-2
14,27,520,-2
14,28,38,-1
14,31,334,-2
14,32,13,0
14,33,7,0
14,34,1,0
14,35,5,0
14,36,5,0
14,37,169,0
15,19,68,0
15,24,21,0
15,28,80,-1
15,31,32,0
16,17,61,0
16,19,16,0
16,20,619,0
16,26,230,0
16,29,303,-1
16,32,229,0
16,35,69,0
17,19,277,0
17,21,380,0
17,26,113,0
17,30,272,0
17,33,19,0
18,20,270,0
18,21,20,-1
18,22,176,-1
18,26,182,-1
18,27,128,-1
18,29,13,-1
18,30,335,-2
18,32,30,-1
18,33,1,0
18,34,29,-1
18,35,68,-1
19,24,357,-2
19,26,3,0
19,27,197,-1
19,28,5,0
19,29,3,0
19,30,3,0
19,31,479,-2
19,32,5,0
19,33,38,-1
19,34,272,-1
19,35,14,0
19,36,79,-1
20,21,1,0
20,24,32,-1
20,26,165,-1
20,27,12,0
20,28,46,-1
20,29,21,-1
20,30,5,0
20,31,42,-1
20,32,177,-1
20,33,9,0
20,34,3,0
20,35,279,-1
20,36,11,0
21,26,35,0
21,27,128,0
21,29,303,-1
21,32,41,0
22,26,11,0
22,27,293,-1
22,30,301,-1
22,32,12,0
22,33,20,0
22,34,11,0
22,35,11,0
23,26,49,-1
23,27,6,0
23,28,284,-1
23,30,294,-1
23,32,269,-1
23,33,1,0
23,34,1,0
23,35,305,-1
24,30,5,0
24,31,7,0
24,36,12,0
25,27,62,-1
25,28,7,0
25,31,662,-2
25,33,139,-1
25,34,238,-1
25,35,5,0
25,36,284,-2
25,37,62,0
26,31,9,0
26,32,144,0
26,35,15,0
26,36,55,0
26,37,27,0
27,28,3,0
27,29,31,-1
27,30,210,-1
27,32,235,-1
27,33,5,0
27,34,18,0
27,35,97,-1
27,36,4,0
27,37,121,0
28,29,1,0
28,30,11,0
28,31,201,-1
28,32,9,0
28,33,1,0
28,34,12,0
28,35,6,0
29,30,5,0
29,31,7,0
29,33,326,-1
29,34,3,0
29,35,8,0
29,36,198,-1
30,31,1,0
30,34,317,-1
30,37,24,0
31,32,150,-1
31,33,4,0
31,34,14,0
31,35,178,-1
32,33,146,-1
32,34,243,-1
32,35,5,0
32,36,291,-2
32,37,71,0
33,34,3,0
33,35,533,-2
34,36,468,-2
35,36,97,-1
35,37,113,-1
