,FOS,GLCM,LBP,MLBP
map0,0.03293762028563535,0.056872006285882376,0.1693365154581531,0.12543558312073597
map1,0.24393867318514223,0.19509875142448135,0.12936086037930306,0.146453292601293
map2,0.041650795421443176,0.15667527077117038,0.17455432590681602,0.16538836441671684
map3,0.18113607705512735,,0.07682507638376312,0.10943093827298238
map4,0.056957832487850454,0.07309542211024886,0.17650395046233502,0.17240375588490156
map5,0.12553233196777147,0.0851306398657018,0.16216642581472338,0.1574588342992834
