,FOS,GLCM,LBP,MLBP
map0,0.07093414349039885,0.07213543379113342,0.24983700745457996,0.1996989277163981
map1,0.09229242987786229,0.22709262107294534,0.21875168488740057,0.18052166896218272
map2,0.04874939729064721,0.27343204264685106,0.19771329219816222,0.1965351012185462
map3,0.05038476182867687,,0.21056246163328637,0.18481631942347412
map4,0.06266536295440704,0.09814339731528858,0.19969786526212316,0.1630316824620602
map5,0.06591730246757109,0.0657179015421966,0.33946680938210805,0.13685730232029492
