,FOS,GLCM,LBP,MLBP
map0,0.010347949677814756,0.03447954032746454,0.040597538863514145,0.07106327488995944
map1,0.17951061266023247,0.22785879283212085,0.20292917729123366,0.08954878318044336
map2,0.012629080010270655,0.030724163189005397,0.16817073796505486,0.12584519906083658
map3,0.16419768531313686,,0.1309612264659249,0.1022074971175066
map4,0.02968389604553505,0.07843766960209494,0.14103467726976568,0.06297951862644047
map5,0.08653733160451799,0.03451538594790045,0.07923676858968612,0.045204255541861436
