# 'k', 'k_acc', 'k_presicion', 'k_recall', 'k_fscore', 'k_nfeatures', 'c_acc', 'c_presicion', 'c_recall', 'c_fscore', 'c_nfeatures'
1.000000,0.952923,0.920844,0.952923,0.933992,0.000000,0.906154,0.847752,0.906154,0.870428,4.000000
2.000000,0.968615,0.945221,0.968615,0.955218,0.000000,0.968615,0.945221,0.968615,0.955218,16.000000
3.000000,0.968615,0.945221,0.968615,0.955218,3.000000,0.968615,0.945221,0.968615,0.955218,64.000000
4.000000,0.968615,0.947050,0.968615,0.955885,10.800000,0.968615,0.947050,0.968615,0.955885,256.000000
5.000000,0.960615,0.947050,0.960615,0.951085,37.000000,0.960615,0.947050,0.960615,0.951085,942.800000
6.000000,0.960615,0.947050,0.960615,0.951085,104.400000,0.960615,0.947050,0.960615,0.951085,3167.600000
7.000000,0.968615,0.947050,0.968615,0.955885,162.800000,0.968615,0.947050,0.968615,0.955885,8935.400000
8.000000,0.968615,0.947050,0.968615,0.955885,186.200000,0.968615,0.947050,0.968615,0.955885,16812.800000
9.000000,0.968615,0.947050,0.968615,0.955885,193.200000,0.968615,0.947050,0.968615,0.955885,22853.000000
