# 'k', 'k_acc', 'k_presicion', 'k_recall', 'k_fscore', 'c_acc', 'c_presicion', 'c_recall', 'c_fscore'
1.000000,0.952615,0.924692,0.952615,0.936421,0.944615,0.920692,0.944615,0.929391
2.000000,0.984000,0.973333,0.984000,0.977600,0.984000,0.973333,0.984000,0.977600
3.000000,0.984000,0.973333,0.984000,0.977600,0.984000,0.973333,0.984000,0.977600
4.000000,0.984000,0.973333,0.984000,0.977600,0.968000,0.965600,0.968000,0.964978
5.000000,0.984000,0.973333,0.984000,0.977600,0.937231,0.945241,0.937231,0.933993
6.000000,0.984000,0.973333,0.984000,0.977600,0.913538,0.898400,0.913538,0.900113
7.000000,0.984000,0.973333,0.984000,0.977600,0.552308,0.516151,0.552308,0.506187
8.000000,0.984000,0.973333,0.984000,0.977600,0.458769,0.312899,0.458769,0.345269
9.000000,0.984000,0.973333,0.984000,0.977600,0.850154,0.832000,0.850154,0.824594
10.000000,0.984000,0.973333,0.984000,0.977600,0.864000,0.824886,0.864000,0.832981
