# 'k', 'k_acc', 'k_presicion', 'k_recall', 'k_fscore', 'k_nfeatures', 'c_acc', 'c_presicion', 'c_recall', 'c_fscore', 'c_nfeatures'
1.000000,0.756000,0.709382,0.756000,0.712140,0.000000,0.870333,0.824588,0.870333,0.837741,4.000000
2.000000,0.984000,0.972000,0.984000,0.977164,0.000000,0.984000,0.972000,0.984000,0.977164,16.000000
3.000000,0.984000,0.972000,0.984000,0.977164,3.000000,0.984000,0.972000,0.984000,0.977164,64.000000
4.000000,0.975667,0.972000,0.975667,0.972618,10.800000,0.975667,0.972000,0.975667,0.972618,256.000000
5.000000,0.975667,0.972000,0.975667,0.972618,36.000000,0.975667,0.972000,0.975667,0.972618,950.200000
6.000000,0.984000,0.972000,0.984000,0.977164,78.600000,0.984000,0.972000,0.984000,0.977164,3035.000000
7.000000,0.984000,0.972000,0.984000,0.977164,96.200000,0.984000,0.972000,0.984000,0.977164,6891.400000
8.000000,0.984000,0.972000,0.984000,0.977164,101.800000,0.984000,0.972000,0.984000,0.977164,10257.400000
9.000000,0.984000,0.972000,0.984000,0.977164,103.200000,0.984000,0.972000,0.984000,0.977164,12078.200000
