# 'k', 'k_acc', 'k_presicion', 'k_recall', 'k_fscore', 'k_nfeatures', 'c_acc', 'c_presicion', 'c_recall', 'c_fscore', 'c_nfeatures'
1.000000,0.939130,0.930145,0.939130,0.927057,0.000000,0.965217,0.942029,0.965217,0.951515,4.000000
2.000000,0.965217,0.942029,0.965217,0.951515,0.000000,0.965217,0.942029,0.965217,0.951515,13.800000
3.000000,0.947826,0.938406,0.947826,0.940975,3.000000,0.965217,0.942029,0.965217,0.951515,11.000000
4.000000,0.965217,0.942029,0.965217,0.951515,10.000000,0.947826,0.938406,0.947826,0.940975,14.600000
5.000000,0.939130,0.934679,0.939130,0.934695,32.000000,0.939130,0.926708,0.939130,0.925815,6.000000
6.000000,0.947826,0.936667,0.947826,0.940250,55.600000,0.956522,0.942029,0.956522,0.946546,5.800000
7.000000,0.947826,0.936667,0.947826,0.940250,63.000000,0.956522,0.950725,0.956522,0.952343,5.800000
8.000000,0.947826,0.936667,0.947826,0.940250,65.000000,0.965217,0.950725,0.965217,0.957312,5.800000
9.000000,0.947826,0.938406,0.947826,0.940975,65.600000,0.947826,0.938302,0.947826,0.938472,8.200000
