# 'k', 'k_acc', 'k_presicion', 'k_recall', 'k_fscore', 'k_nfeatures', 'c_acc', 'c_presicion', 'c_recall', 'c_fscore', 'c_nfeatures'
1.000000,0.756000,0.709382,0.756000,0.712140,0.000000,0.636667,0.497482,0.636667,0.542980,2.600000
2.000000,0.984000,0.972000,0.984000,0.977164,0.000000,0.984000,0.972000,0.984000,0.977164,14.200000
3.000000,0.984000,0.972000,0.984000,0.977164,3.000000,0.984000,0.972000,0.984000,0.977164,24.000000
4.000000,0.984000,0.972000,0.984000,0.977164,10.800000,0.984000,0.972000,0.984000,0.977164,40.400000
5.000000,0.984000,0.972000,0.984000,0.977164,36.000000,0.975667,0.972000,0.975667,0.972618,9.000000
6.000000,0.984000,0.972000,0.984000,0.977164,78.600000,0.967667,0.972000,0.967667,0.968047,6.000000
7.000000,0.984000,0.972000,0.984000,0.977164,96.200000,0.976000,0.968000,0.976000,0.969697,5.800000
8.000000,0.984000,0.972000,0.984000,0.977164,101.800000,0.976000,0.966667,0.976000,0.969392,5.200000
9.000000,0.984000,0.972000,0.984000,0.977164,103.200000,0.968000,0.956000,0.968000,0.959259,6.800000
