# 'k', 'k_acc', 'k_presicion', 'k_recall', 'k_fscore', 'k_nfeatures', 'c_acc', 'c_presicion', 'c_recall', 'c_fscore', 'c_nfeatures'
1.000000,0.822573,0.815047,0.822573,0.811793,0.000000,0.980997,0.981079,0.980997,0.980820,4.000000
2.000000,0.995539,0.995364,0.995539,0.995444,0.000000,0.998642,0.998459,0.998642,0.998546,16.000000
3.000000,0.999612,0.999420,0.999612,0.999515,3.000000,0.999612,0.999420,0.999612,0.999515,64.000000
4.000000,0.999418,0.999227,0.999418,0.999322,12.000000,0.999418,0.999227,0.999418,0.999322,256.000000
5.000000,0.998837,0.999034,0.998837,0.998933,49.000000,0.998837,0.999034,0.998837,0.998933,1024.000000
6.000000,0.998837,0.999034,0.998837,0.998933,185.800000,0.998837,0.999034,0.998837,0.998933,4096.000000
7.000000,0.999031,0.999227,0.999031,0.999127,522.000000,0.999031,0.999227,0.999031,0.999127,16364.800000
8.000000,0.999031,0.999227,0.999031,0.999127,847.800000,0.999031,0.999227,0.999031,0.999127,61864.800000
9.000000,0.999031,0.999227,0.999031,0.999127,998.000000,0.999031,0.999227,0.999031,0.999127,172706.200000
