# 'k', 'k_acc', 'k_presicion', 'k_recall', 'k_fscore', 'k_nfeatures', 'c_acc', 'c_presicion', 'c_recall', 'c_fscore', 'c_nfeatures'
1.000000,0.183450,0.099855,0.183450,0.110953,0.000000,0.264824,0.232056,0.264824,0.208880,4.000000
2.000000,0.684931,0.700888,0.684931,0.683141,0.000000,0.682744,0.700678,0.682744,0.680023,16.000000
3.000000,0.920128,0.928452,0.920128,0.919342,3.000000,0.926790,0.932778,0.926790,0.925348,64.000000
4.000000,0.977808,0.980787,0.977808,0.977639,10.000000,0.979287,0.982020,0.979287,0.979240,256.000000
5.000000,0.977067,0.979665,0.977067,0.976887,33.000000,0.977805,0.980185,0.977805,0.977619,1014.000000
6.000000,0.977808,0.981443,0.977808,0.977721,70.000000,0.978546,0.982196,0.978546,0.978437,3689.400000
7.000000,0.977808,0.981519,0.977808,0.977574,99.000000,0.977070,0.980920,0.977070,0.976843,10358.000000
8.000000,0.977070,0.980843,0.977070,0.976833,112.000000,0.976332,0.980243,0.976332,0.976101,20620.000000
9.000000,0.975591,0.979453,0.975591,0.975252,117.000000,0.973372,0.977772,0.973372,0.973158,31646.400000
