# 'k', 'k_acc', 'k_presicion', 'k_recall', 'k_fscore', 'k_nfeatures', 'c_acc', 'c_presicion', 'c_recall', 'c_fscore', 'c_nfeatures'
1.000000,0.540000,0.493733,0.540000,0.493291,0.000000,0.815000,0.702222,0.815000,0.747525,4.000000
2.000000,0.869167,0.874275,0.869167,0.863765,0.000000,0.974167,0.978396,0.974167,0.972796,16.000000
3.000000,0.973333,0.979683,0.973333,0.973783,3.000000,1.000000,1.000000,1.000000,1.000000,64.000000
4.000000,1.000000,1.000000,1.000000,1.000000,12.000000,1.000000,1.000000,1.000000,1.000000,256.000000
5.000000,1.000000,1.000000,1.000000,1.000000,48.000000,1.000000,1.000000,1.000000,1.000000,1024.000000
6.000000,1.000000,1.000000,1.000000,1.000000,161.000000,1.000000,1.000000,1.000000,1.000000,4057.200000
7.000000,1.000000,1.000000,1.000000,1.000000,436.800000,1.000000,1.000000,1.000000,1.000000,14776.600000
8.000000,1.000000,1.000000,1.000000,1.000000,715.200000,1.000000,1.000000,1.000000,1.000000,43406.600000
9.000000,1.000000,1.000000,1.000000,1.000000,843.000000,1.000000,1.000000,1.000000,1.000000,90391.600000
