# 'k', 'k_acc', 'k_presicion', 'k_recall', 'k_fscore', 'c_acc', 'c_presicion', 'c_recall', 'c_fscore'
1.000000,0.883333,0.852708,0.883333,0.854994,0.983333,0.971111,0.983333,0.976296
2.000000,0.983333,0.971111,0.983333,0.976296,0.983333,0.971111,0.983333,0.976296
3.000000,0.958333,0.969444,0.958333,0.960556,0.983333,0.971111,0.983333,0.976296
4.000000,0.966667,0.971111,0.966667,0.965185,0.966667,0.971111,0.966667,0.965185
5.000000,0.966667,0.971111,0.966667,0.965185,0.941667,0.949167,0.941667,0.941111
6.000000,0.958667,0.971111,0.958667,0.960385,0.941667,0.931944,0.941667,0.932795
7.000000,0.966667,0.971111,0.966667,0.965185,0.875000,0.919535,0.875000,0.874096
8.000000,0.966667,0.971111,0.966667,0.965185,0.743333,0.771739,0.743333,0.718124
9.000000,0.966667,0.971111,0.966667,0.965185,0.480000,0.368354,0.480000,0.389515
10.000000,0.966667,0.971111,0.966667,0.965185,0.390333,0.279906,0.390333,0.298877
