# 'k', 'k_acc', 'k_presicion', 'k_recall', 'k_fscore', 'k_nfeatures', 'c_acc', 'c_presicion', 'c_recall', 'c_fscore', 'c_nfeatures'
1.000000,0.952615,0.924692,0.952615,0.936421,0.000000,0.952615,0.924692,0.952615,0.936421,4.000000
2.000000,0.984000,0.973333,0.984000,0.977600,0.000000,0.984000,0.973333,0.984000,0.977600,16.000000
3.000000,0.984000,0.973333,0.984000,0.977600,2.000000,0.984000,0.973333,0.984000,0.977600,64.000000
4.000000,0.984000,0.973333,0.984000,0.977600,10.000000,0.984000,0.973333,0.984000,0.977600,249.200000
5.000000,0.984000,0.973333,0.984000,0.977600,29.000000,0.984000,0.973333,0.984000,0.977600,873.600000
6.000000,0.984000,0.973333,0.984000,0.977600,46.400000,0.984000,0.973333,0.984000,0.977600,2459.200000
7.000000,0.984000,0.973333,0.984000,0.977600,53.000000,0.984000,0.973333,0.984000,0.977600,4575.600000
8.000000,0.984000,0.973333,0.984000,0.977600,54.000000,0.984000,0.973333,0.984000,0.977600,6202.600000
9.000000,0.984000,0.973333,0.984000,0.977600,55.000000,0.984000,0.973333,0.984000,0.977600,7082.800000
