# 'k', 'k_acc', 'k_presicion', 'k_recall', 'k_fscore', 'k_nfeatures', 'c_acc', 'c_presicion', 'c_recall', 'c_fscore', 'c_nfeatures'
1.000000,0.939130,0.930145,0.939130,0.927057,0.000000,0.965217,0.942029,0.965217,0.951515,4.000000
2.000000,0.965217,0.942029,0.965217,0.951515,0.000000,0.965217,0.942029,0.965217,0.951515,16.000000
3.000000,0.947826,0.938406,0.947826,0.940975,3.000000,0.947826,0.938406,0.947826,0.940975,64.000000
4.000000,0.939130,0.938406,0.939130,0.936144,10.000000,0.939130,0.938406,0.939130,0.936144,253.600000
5.000000,0.947826,0.934679,0.947826,0.939526,32.000000,0.947826,0.934679,0.947826,0.939526,895.200000
6.000000,0.947826,0.936667,0.947826,0.940250,55.600000,0.947826,0.936667,0.947826,0.940250,2668.000000
7.000000,0.947826,0.936667,0.947826,0.940250,63.000000,0.947826,0.936667,0.947826,0.940250,5213.400000
8.000000,0.947826,0.936667,0.947826,0.940250,65.000000,0.947826,0.936667,0.947826,0.940250,7036.600000
9.000000,0.947826,0.938406,0.947826,0.940975,65.600000,0.947826,0.938406,0.947826,0.940975,7938.400000
