# 'k', 'k_acc', 'k_presicion', 'k_recall', 'k_fscore', 'k_nfeatures', 'c_acc', 'c_presicion', 'c_recall', 'c_fscore', 'c_nfeatures'
1.000000,0.883333,0.852708,0.883333,0.854994,0.000000,0.983333,0.971111,0.983333,0.976296,4.000000
2.000000,0.983333,0.971111,0.983333,0.976296,0.000000,0.983333,0.971111,0.983333,0.976296,16.000000
3.000000,0.958333,0.969444,0.958333,0.960556,3.000000,0.958333,0.969444,0.958333,0.960556,64.000000
4.000000,0.950333,0.969444,0.950333,0.955756,10.000000,0.950333,0.969444,0.950333,0.955756,255.000000
5.000000,0.958667,0.971111,0.958667,0.960385,35.200000,0.958667,0.971111,0.958667,0.960385,948.800000
6.000000,0.958667,0.971111,0.958667,0.960385,82.000000,0.958667,0.971111,0.958667,0.960385,3149.000000
7.000000,0.966667,0.971111,0.966667,0.965185,103.000000,0.966667,0.971111,0.966667,0.965185,7839.600000
8.000000,0.966667,0.971111,0.966667,0.965185,109.000000,0.966667,0.971111,0.966667,0.965185,12398.600000
9.000000,0.966667,0.971111,0.966667,0.965185,110.800000,0.966667,0.971111,0.966667,0.965185,15004.400000
