# 'k', 'k_acc', 'k_presicion', 'k_recall', 'k_fscore', 'k_nfeatures', 'c_acc', 'c_presicion', 'c_recall', 'c_fscore', 'c_nfeatures'
1.000000,0.883333,0.852708,0.883333,0.854994,0.000000,0.983333,0.971111,0.983333,0.976296,3.800000
2.000000,0.983333,0.971111,0.983333,0.976296,0.000000,0.983333,0.971111,0.983333,0.976296,15.600000
3.000000,0.958333,0.969444,0.958333,0.960556,3.000000,0.983333,0.971111,0.983333,0.976296,11.600000
4.000000,0.966667,0.971111,0.966667,0.965185,10.000000,0.966667,0.971111,0.966667,0.965185,15.800000
5.000000,0.966667,0.971111,0.966667,0.965185,35.200000,0.941667,0.947222,0.941667,0.939704,8.600000
6.000000,0.958667,0.971111,0.958667,0.960385,82.000000,0.933667,0.949552,0.933667,0.932561,6.400000
7.000000,0.966667,0.971111,0.966667,0.965185,103.000000,0.941667,0.936111,0.941667,0.933472,5.400000
8.000000,0.966667,0.971111,0.966667,0.965185,109.000000,0.941667,0.943333,0.941667,0.937407,13.400000
9.000000,0.966667,0.971111,0.966667,0.965185,110.800000,0.958333,0.966944,0.958333,0.957778,22.200000
