# 'k', 'k_acc', 'k_presicion', 'k_recall', 'k_fscore', 'c_acc', 'c_presicion', 'c_recall', 'c_fscore'
1.000000,0.222969,0.229822,0.222969,0.196835,0.149244,0.108004,0.149244,0.098018
2.000000,0.579678,0.617613,0.579678,0.580651,0.646667,0.678565,0.646667,0.643454
3.000000,0.939692,0.943602,0.939692,0.937116,0.804090,0.846344,0.804090,0.805421
4.000000,0.973109,0.976936,0.973109,0.973490,0.867689,0.890101,0.867689,0.871044
5.000000,0.998319,0.998880,0.998319,0.998443,0.902815,0.916205,0.902815,0.902653
6.000000,0.998319,0.998880,0.998319,0.998443,0.777045,0.816161,0.777045,0.778049
7.000000,0.998319,0.998880,0.998319,0.998443,0.785504,0.802413,0.785504,0.780733
8.000000,0.996653,0.997380,0.996653,0.996701,0.870896,0.880008,0.870896,0.867651
9.000000,0.981597,0.975625,0.981597,0.976525,0.776975,0.815558,0.776975,0.772461
