# 'k', 'k_acc', 'k_presicion', 'k_recall', 'k_fscore', 'c_acc', 'c_presicion', 'c_recall', 'c_fscore'
1.000000,0.939130,0.930145,0.939130,0.927057,0.965217,0.942029,0.965217,0.951515
2.000000,0.965217,0.942029,0.965217,0.951515,0.965217,0.942029,0.965217,0.951515
3.000000,0.947826,0.938406,0.947826,0.940975,0.965217,0.942029,0.965217,0.951515
4.000000,0.965217,0.942029,0.965217,0.951515,0.965217,0.942029,0.965217,0.951515
5.000000,0.939130,0.934679,0.939130,0.934695,0.956522,0.950725,0.956522,0.952343
6.000000,0.947826,0.936667,0.947826,0.940250,0.860870,0.816473,0.860870,0.828080
7.000000,0.947826,0.936667,0.947826,0.940250,0.765217,0.733844,0.765217,0.736978
8.000000,0.947826,0.936667,0.947826,0.940250,0.565217,0.417046,0.565217,0.457742
9.000000,0.947826,0.938406,0.947826,0.940975,0.608696,0.559959,0.608696,0.554646
10.000000,0.947826,0.938406,0.947826,0.940975,0.834783,0.756128,0.834783,0.782859
