# 'k', 'k_acc', 'k_presicion', 'k_recall', 'k_fscore', 'k_nfeatures', 'c_acc', 'c_presicion', 'c_recall', 'c_fscore', 'c_nfeatures'
1.000000,0.183450,0.099855,0.183450,0.110953,0.000000,0.217433,0.173129,0.217433,0.157290,3.000000
2.000000,0.684931,0.700888,0.684931,0.683141,0.000000,0.682744,0.700678,0.682744,0.680023,16.000000
3.000000,0.920128,0.928452,0.920128,0.919342,3.000000,0.927530,0.933731,0.927530,0.927371,54.400000
4.000000,0.902356,0.911208,0.902356,0.901451,10.000000,0.954140,0.957588,0.954140,0.953564,63.400000
5.000000,0.963009,0.965119,0.963009,0.962807,33.000000,0.963018,0.965668,0.963018,0.962974,61.400000
6.000000,0.974101,0.978135,0.974101,0.973924,70.000000,0.951912,0.955351,0.951912,0.951480,72.000000
7.000000,0.976324,0.980004,0.976324,0.976101,99.000000,0.931226,0.936300,0.931226,0.930666,42.400000
8.000000,0.971887,0.974638,0.971887,0.971654,112.000000,0.928252,0.934753,0.928252,0.928174,37.600000
9.000000,0.968189,0.971107,0.968189,0.967866,117.000000,0.925284,0.934316,0.925284,0.925386,34.400000
