# 'k', 'k_acc', 'k_presicion', 'k_recall', 'k_fscore', 'k_nfeatures', 'c_acc', 'c_presicion', 'c_recall', 'c_fscore', 'c_nfeatures'
1.000000,0.952615,0.924692,0.952615,0.936421,0.000000,0.944615,0.920692,0.944615,0.929391,3.000000
2.000000,0.984000,0.973333,0.984000,0.977600,0.000000,0.984000,0.973333,0.984000,0.977600,14.400000
3.000000,0.984000,0.973333,0.984000,0.977600,2.000000,0.984000,0.973333,0.984000,0.977600,16.400000
4.000000,0.984000,0.973333,0.984000,0.977600,10.000000,0.968000,0.965600,0.968000,0.964978,9.200000
5.000000,0.984000,0.973333,0.984000,0.977600,29.000000,0.976308,0.968205,0.976308,0.969908,6.600000
6.000000,0.984000,0.973333,0.984000,0.977600,46.400000,0.984000,0.973333,0.984000,0.977600,6.400000
7.000000,0.984000,0.973333,0.984000,0.977600,53.000000,0.976000,0.964343,0.976000,0.969641,6.000000
8.000000,0.984000,0.973333,0.984000,0.977600,54.000000,0.968308,0.952204,0.968308,0.958191,6.600000
9.000000,0.984000,0.973333,0.984000,0.977600,55.000000,0.944923,0.942256,0.944923,0.938203,7.400000
